source,published,title,link
nytimes,"18 Aug, 01:04",U.K. Backs Down in A-Level Testing Debacle Tied to Coronavirus,https://www.nytimes.com/2020/08/17/world/europe/england-college-exam-johnson.html
nytimes,"18 Aug, 00:30","Aleksandr Lukashenko, Belarus President, Is Jeered by Factory Workers",https://www.nytimes.com/2020/08/17/world/europe/belarus-lukashenko-protests.html
nytimes,"17 Aug, 22:52",‘I Was Selling Honey to Survive.’ Then Mel Gibson Threatened to Sue.,https://www.nytimes.com/2020/08/17/world/americas/honey-mel-gibson-chile.html
nytimes,"17 Aug, 22:51",Ex-C.I.A. Officer Is Accused of Spying for China,https://www.nytimes.com/2020/08/17/us/politics/china-spying-alexander-yuk-ching-ma.html
nytimes,"17 Aug, 22:11","U.S. Tries to Bolster Taiwan’s Status, Short of Recognizing Sovereignty",https://www.nytimes.com/2020/08/17/us/politics/trump-china-taiwan-hong-kong.html
nytimes,"17 Aug, 22:03",Coronavirus Briefing: What Happened Today,https://www.nytimes.com/2020/08/17/us/coronavirus-today.html
nytimes,"17 Aug, 18:48",Toronto Police to Pay $12.5 Million to Protesters Arrested During 2010 G-20 Summit,https://www.nytimes.com/2020/08/17/world/canada/toronto-g20-settlement.html
nytimes,"17 Aug, 18:18",Israeli Jets Arrive for 1st Joint Military Exercises on German Soil,https://www.nytimes.com/2020/08/17/world/europe/germany-israel-military-exercises.html
nytimes,"17 Aug, 14:39","Juan Carlos, Spain’s Former King, Is in the U.A.E.",https://www.nytimes.com/2020/08/17/world/europe/king-juan-carlos-spain-uae.html
nasdaq,"18 Aug, 15:00",Validea James P. O'Shaughnessy Strategy Daily Upgrade Report - 8/18/2020,https://www.nasdaq.com/articles/validea-james-p.-oshaughnessy-strategy-daily-upgrade-report-8-18-2020-2020-08-18
nasdaq,"18 Aug, 15:00",Validea Martin Zweig Strategy Daily Upgrade Report - 8/18/2020,https://www.nasdaq.com/articles/validea-martin-zweig-strategy-daily-upgrade-report-8-18-2020-2020-08-18
nasdaq,"18 Aug, 15:00",Validea Motley Fool Strategy Daily Upgrade Report - 8/18/2020,https://www.nasdaq.com/articles/validea-motley-fool-strategy-daily-upgrade-report-8-18-2020-2020-08-18
nasdaq,"18 Aug, 15:00",Validea John Neff Strategy Daily Upgrade Report - 8/18/2020,https://www.nasdaq.com/articles/validea-john-neff-strategy-daily-upgrade-report-8-18-2020-2020-08-18
nasdaq,"18 Aug, 15:00",Validea Joel Greenblatt Strategy Daily Upgrade Report - 8/18/2020,https://www.nasdaq.com/articles/validea-joel-greenblatt-strategy-daily-upgrade-report-8-18-2020-2020-08-18
nasdaq,"18 Aug, 15:00",Validea Benjamin Graham Strategy Daily Upgrade Report - 8/18/2020,https://www.nasdaq.com/articles/validea-benjamin-graham-strategy-daily-upgrade-report-8-18-2020-2020-08-18
nasdaq,"18 Aug, 15:00",Validea David Dreman Strategy Daily Upgrade Report - 8/18/2020,https://www.nasdaq.com/articles/validea-david-dreman-strategy-daily-upgrade-report-8-18-2020-2020-08-18
nasdaq,"18 Aug, 15:00",Validea Peter Lynch Strategy Daily Upgrade Report - 8/18/2020,https://www.nasdaq.com/articles/validea-peter-lynch-strategy-daily-upgrade-report-8-18-2020-2020-08-18
nasdaq,"18 Aug, 15:00",Validea Warren Buffett Strategy Daily Upgrade Report - 8/18/2020,https://www.nasdaq.com/articles/validea-warren-buffett-strategy-daily-upgrade-report-8-18-2020-2020-08-18
nasdaq,"18 Aug, 13:15","NASDAQ Makes It Look Easy, Gains 1% to New Closing High",https://www.nasdaq.com/articles/nasdaq-makes-it-look-easy-gains-1-to-new-closing-high-2020-08-18
nasdaq,"18 Aug, 11:43",3 Cheap Tech Stocks to Buy Right Now,https://www.nasdaq.com/articles/3-cheap-tech-stocks-to-buy-right-now-2020-08-18
nasdaq,"18 Aug, 11:41",How The Parts Add Up: SPVM Targets $40,https://www.nasdaq.com/articles/how-the-parts-add-up%3A-spvm-targets-%2440-2020-08-18
nasdaq,"18 Aug, 11:39",RPV's Underlying Holdings Could Mean 13% Gain Potential,https://www.nasdaq.com/articles/rpvs-underlying-holdings-could-mean-13-gain-potential-2020-08-18
nasdaq,"18 Aug, 11:37",Vanda's experimental COVID-19 drug shows promise in interim trial data,https://www.nasdaq.com/articles/vandas-experimental-covid-19-drug-shows-promise-in-interim-trial-data-2020-08-18-0
nasdaq,"18 Aug, 11:33",GRAPHIC-The $425 bln payment holiday question hanging over Europe's banks,https://www.nasdaq.com/articles/graphic-the-%24425-bln-payment-holiday-question-hanging-over-europes-banks-2020-08-18
marketwatch,"18 Aug, 11:35",Fund managers are the most bullish since the pandemic: Bank of America survey,http://feeds.marketwatch.com/~r/marketwatch/bulletins/~3/GBRaY61rQE4/go
marketwatch,"18 Aug, 11:06",Walmart shares surge 5% into record territory after Q2 results,http://feeds.marketwatch.com/~r/marketwatch/bulletins/~3/wYuhXqIc4xc/go
marketwatch,"18 Aug, 10:11",Home Depot tops earnings forecasts as sales surge in second quarter,http://feeds.marketwatch.com/~r/marketwatch/bulletins/~3/7vurVVkmerk/go
marketwatch,"18 Aug, 07:49",European stocks slip as virus resurgence puts recovery in doubt,http://feeds.marketwatch.com/~r/marketwatch/bulletins/~3/2uQt-HcVPeo/go
marketwatch,"18 Aug, 03:31",Michelle Obama rips Trump as ‘wrong president for our country’ in DNC speech,http://feeds.marketwatch.com/~r/marketwatch/bulletins/~3/PiGZndFQSRM/go
marketwatch,"17 Aug, 20:04","S&P 500 ends higher, but falls short of record close, Dow finishes in the red",http://feeds.marketwatch.com/~r/marketwatch/bulletins/~3/NZJkrPMn6Tw/go
marketwatch,"17 Aug, 19:07","Tesla stock tops $1,800 a share after soaring more than 30% in 4 days",http://feeds.marketwatch.com/~r/marketwatch/bulletins/~3/efAqU5dcx6w/go
marketwatch,"17 Aug, 18:47",How much should you save for a 'modest' retirement? What if we said $8 million,http://feeds.marketwatch.com/~r/marketwatch/bulletins/~3/0fJ5VhNG-0g/go
marketwatch,"17 Aug, 16:31","What did people do with their $1,200 stimulus checks? Finally, we have an answer",http://feeds.marketwatch.com/~r/marketwatch/bulletins/~3/a3tV-R4g6KI/go
marketwatch,"17 Aug, 16:07",Robinhood valued at $11.2 billion in latest funding round: Barron's on MW,http://feeds.marketwatch.com/~r/marketwatch/bulletins/~3/6onkEHoBWvU/go
investing,"18 Aug, 11:40",Gunfire heard at Mali army base as embassy warns of possible mutiny,https://www.investing.com/news/world-news/gunfire-heard-at-mali-army-base-as-embassy-warns-of-possible-mutiny-2269336
investing,"18 Aug, 11:40",Japan voices concerns over Chinese activity around disputed islands: NHK,https://www.investing.com/news/world-news/japan-voices-concerns-over-chinese-activity-around-disputed-islands-nhk-2269403
investing,"18 Aug, 11:31","U.N. tribunal: no evidence Hezbollah leadership, Syrian government behind Hariri killing",https://www.investing.com/news/world-news/scarred-lebanon-braces-for-hariri-killing-verdict-2268973
investing,"18 Aug, 11:31","Lockdown, leftovers and how food frugality is a climate boon",https://www.investing.com/news/world-news/lockdown-leftovers-and-how-food-frugality-is-a-climate-boon-2269372
investing,"18 Aug, 11:00","Sudan, major rebel group sign deal to integrate rebels into army",https://www.investing.com/news/world-news/sudan-major-rebel-group-sign-deal-to-integrate-rebels-into-army-2269339
investing,"18 Aug, 10:50",Thai school 'Hunger Games' salute protests spread,https://www.investing.com/news/world-news/thai-school-hunger-games-salute-protests-spread-2269325
investing,"18 Aug, 10:45",Connecticut to unveil results of inquiry into virus-hit nursing homes,https://www.investing.com/news/world-news/connecticut-to-unveil-results-of-inquiry-into-virushit-nursing-homes-2269294
investing,"18 Aug, 10:36",Peking duck chain urges diners to eat less as China fights food waste,https://www.investing.com/news/world-news/peking-duck-chain-urges-diners-to-eat-less-as-china-fights-food-waste-2269303
investing,"18 Aug, 10:31","Possible mutiny under way outside Mali capital, say Norwegian Embassy and security source",https://www.investing.com/news/world-news/possible-mutiny-under-way-outside-mali-capital-say-norwegian-embassy-and-security-source-2269278
investing,"18 Aug, 10:30",Putin tells Merkel external intervention in Belarus would be unacceptable,https://www.investing.com/news/world-news/putin-tells-merkel-external-intervention-in-belarus-would-be-unacceptable-2269302
google,"18 Aug, 11:11","Faster test results and 'robust' immune response may offer hope of curbing the pandemic, experts say - CNN",https://news.google.com/__i/rss/rd/articles/CBMiR2h0dHBzOi8vd3d3LmNubi5jb20vMjAyMC8wOC8xOC9oZWFsdGgvdXMtY29yb25hdmlydXMtdHVlc2RheS9pbmRleC5odG1s0gFLaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyMC8wOC8xOC9oZWFsdGgvdXMtY29yb25hdmlydXMtdHVlc2RheS9pbmRleC5odG1s?oc=5
google,"18 Aug, 11:05",Dow Jones Futures Jump 125 Points On Strong Earnings From Home Depot And Walmart - Investor's Business Daily,https://news.google.com/__i/rss/rd/articles/CBMijQFodHRwczovL3d3dy5pbnZlc3RvcnMuY29tL21hcmtldC10cmVuZC9zdG9jay1tYXJrZXQtdG9kYXkvZG93LWpvbmVzLWZ1dHVyZXMtc3RvY2stbWFya2V0LXJhbGx5LWFwcGxlLW52aWRpYS10ZXNsYS1zdG9jay1hbWF6b24tbmV3LWJ1eS1wb2ludC_SAQA?oc=5
google,"18 Aug, 10:33",UNC-Chapel Hill’s student newspaper sums up school’s coronavirus policy with an f-bomb - The Washington Post,https://news.google.com/__i/rss/rd/articles/CBMiSWh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9uYXRpb24vMjAyMC8wOC8xNy91bmMtY2x1c3Rlci1jb3JvbmF2aXJ1cy_SAVhodHRwczovL3d3dy53YXNoaW5ndG9ucG9zdC5jb20vbmF0aW9uLzIwMjAvMDgvMTcvdW5jLWNsdXN0ZXItY29yb25hdmlydXMvP291dHB1dFR5cGU9YW1w?oc=5
google,"18 Aug, 10:10","Marks & Spencer to cut 7,000 jobs as clothing sales collapse - CNN",https://news.google.com/__i/rss/rd/articles/CBMiTWh0dHBzOi8vd3d3LmNubi5jb20vMjAyMC8wOC8xOC9idXNpbmVzcy9tYXJrcy1hbmQtc3BlbmNlci1qb2ItY3V0cy9pbmRleC5odG1s0gFRaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyMC8wOC8xOC9idXNpbmVzcy9tYXJrcy1hbmQtc3BlbmNlci1qb2ItY3V0cy9pbmRleC5odG1s?oc=5
google,"18 Aug, 10:04",More affordable Samsung Galaxy S20 ‘Fan Edition’ emerges in leaked renders - The Verge,https://news.google.com/__i/rss/rd/articles/CBMidGh0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDIwLzgvMTgvMjEzNzMzMzIvc2Ftc3VuZy1nYWxheHktczIwLWZhbi1lZGl0aW9uLWFmZm9yZGFibGUtaG9sZS1wdW5jaC1ub3RjaC10cmlwbGUtY2FtZXJh0gGBAWh0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS9wbGF0Zm9ybS9hbXAvMjAyMC84LzE4LzIxMzczMzMyL3NhbXN1bmctZ2FsYXh5LXMyMC1mYW4tZWRpdGlvbi1hZmZvcmRhYmxlLWhvbGUtcHVuY2gtbm90Y2gtdHJpcGxlLWNhbWVyYQ?oc=5
google,"18 Aug, 09:50","Walmart second-quarter results crush estimates, as e-commerce sales jump 97% - CNBC",https://news.google.com/__i/rss/rd/articles/CBMiQWh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjAvMDgvMTgvd2FsbWFydC13bXQtcTItMjAyMS1lYXJuaW5ncy5odG1s0gFFaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjAvMDgvMTgvd2FsbWFydC13bXQtcTItMjAyMS1lYXJuaW5ncy5odG1s?oc=5
google,"18 Aug, 09:01","New Zealand leader Jacinda Ardern calls Trump's claim of virus surge ""patently wrong"" - CBS News",https://news.google.com/__i/rss/rd/articles/CBMifmh0dHBzOi8vd3d3LmNic25ld3MuY29tL25ld3MvbmV3LXplYWxhbmQtZG9uYWxkLXRydW1wLWNvcm9uYXZpcnVzLXByaW1lLW1pbmlzdGVyLWphY2luZGEtYXJkZXJuLWNhbGxzLWNvdmlkLXN1cmdlLWNsYWltLXdyb25nL9IBggFodHRwczovL3d3dy5jYnNuZXdzLmNvbS9hbXAvbmV3cy9uZXctemVhbGFuZC1kb25hbGQtdHJ1bXAtY29yb25hdmlydXMtcHJpbWUtbWluaXN0ZXItamFjaW5kYS1hcmRlcm4tY2FsbHMtY292aWQtc3VyZ2UtY2xhaW0td3Jvbmcv?oc=5
google,"18 Aug, 04:51","Michelle Obama's DNC speech was recorded before Biden picked Harris as running mate, source says - Fox News",https://news.google.com/__i/rss/rd/articles/CBMiTmh0dHBzOi8vd3d3LmZveG5ld3MuY29tL3BvbGl0aWNzL21pY2hlbGxlLW9iYW1hLWRuYy1zcGVlY2gta2FtYWxhLWhhcnJpcy1iaWRlbtIBUmh0dHBzOi8vd3d3LmZveG5ld3MuY29tL3BvbGl0aWNzL21pY2hlbGxlLW9iYW1hLWRuYy1zcGVlY2gta2FtYWxhLWhhcnJpcy1iaWRlbi5hbXA?oc=5
google,"18 Aug, 04:35","'America is not intimidated by you:' Dems push back at Trump over mail-voting, postal service at DNC - USA TODAY",https://news.google.com/__i/rss/rd/articles/CBMikwFodHRwczovL3d3dy51c2F0b2RheS5jb20vc3RvcnkvbmV3cy9wb2xpdGljcy9lbGVjdGlvbnMvMjAyMC8wOC8xNy9kbmMtZGVtb2NyYXRzLXB1c2gtYmFjay1hZ2FpbnN0LXRydW1wLW92ZXItbWFpbC12b3RpbmctcG9zdGFsLXNlcnZpY2UvMzM4ODUxOTAwMS_SASdodHRwczovL2FtcC51c2F0b2RheS5jb20vYW1wLzMzODg1MTkwMDE?oc=5
google,"18 Aug, 04:09",Virginia state senator and other local leaders charged in connection with the dismantling of a Confederate monument - CNN,https://news.google.com/__i/rss/rd/articles/CBMiWmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMC8wOC8xOC91cy92aXJnaW5pYS1zZW5hdG9yLWNoYXJnZWQtY29uZmVkZXJhdGUtbW9udW1lbnQvaW5kZXguaHRtbNIBXmh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjAvMDgvMTgvdXMvdmlyZ2luaWEtc2VuYXRvci1jaGFyZ2VkLWNvbmZlZGVyYXRlLW1vbnVtZW50L2luZGV4Lmh0bWw?oc=5
google,"18 Aug, 04:04",Trump dangles cash for US firms moving from China - BBC News,https://news.google.com/__i/rss/rd/articles/CBMiKmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9idXNpbmVzcy01MzgxNjI3N9IBLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9hbXAvYnVzaW5lc3MtNTM4MTYyNzc?oc=5
google,"18 Aug, 02:24",Daughter of Trump voter who died of COVID-19 addresses Democratic convention | TheHill - The Hill,https://news.google.com/__i/rss/rd/articles/CBMibmh0dHBzOi8vdGhlaGlsbC5jb20vaG9tZW5ld3MvY2FtcGFpZ24vNTEyNDQzLWRhdWdodGVyLW9mLXRydW1wLXZvdGVyLXdoby1kaWVkLW9mLWNvdmlkLTE5LXNwZWFrcy1hdC1jb252ZW50aW9u0gFyaHR0cHM6Ly90aGVoaWxsLmNvbS9ob21lbmV3cy9jYW1wYWlnbi81MTI0NDMtZGF1Z2h0ZXItb2YtdHJ1bXAtdm90ZXItd2hvLWRpZWQtb2YtY292aWQtMTktc3BlYWtzLWF0LWNvbnZlbnRpb24_YW1w?oc=5
google,"18 Aug, 01:37",Trump-backed transgender athlete ban paused in Idaho - POLITICO,https://news.google.com/__i/rss/rd/articles/CBMiZGh0dHBzOi8vd3d3LnBvbGl0aWNvLmNvbS9uZXdzLzIwMjAvMDgvMTcvdHJ1bXAtYmFja2VkLXRyYW5zZ2VuZGVyLWF0aGxldGUtYmFuLXBhdXNlZC1pbi1pZGFoby0zOTc0OTXSAWhodHRwczovL3d3dy5wb2xpdGljby5jb20vYW1wL25ld3MvMjAyMC8wOC8xNy90cnVtcC1iYWNrZWQtdHJhbnNnZW5kZXItYXRobGV0ZS1iYW4tcGF1c2VkLWluLWlkYWhvLTM5NzQ5NQ?oc=5
google,"18 Aug, 01:03",Rafik Hariri tribunal: Verdict due over assassination of Lebanon ex-PM - BBC News,https://news.google.com/__i/rss/rd/articles/CBMiM2h0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC1taWRkbGUtZWFzdC01MzYwMTcxMNIBN2h0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9hbXAvd29ybGQtbWlkZGxlLWVhc3QtNTM2MDE3MTA?oc=5
google,"18 Aug, 01:00",Iran Paid Bounties to Taliban to Target U.S. Soldiers: Report - The Daily Beast,https://news.google.com/__i/rss/rd/articles/CBMiXWh0dHBzOi8vd3d3LnRoZWRhaWx5YmVhc3QuY29tL2lyYW4tcGFpZC1ib3VudGllcy10by10YWxpYmFuLXRvLXRhcmdldC11cy1zb2xkaWVycy1yZXBvcnQtc2F5c9IBAA?oc=5
google,"17 Aug, 22:59","Police ask for help after pickup driver attacked, left unconscious in Portland - KPTV.com",https://news.google.com/__i/rss/rd/articles/CBMimQFodHRwczovL3d3dy5rcHR2LmNvbS9uZXdzL3BvbGljZS1hc2stZm9yLWhlbHAtYWZ0ZXItcGlja3VwLWRyaXZlci1hdHRhY2tlZC1sZWZ0LXVuY29uc2Npb3VzLWluLXBvcnRsYW5kL2FydGljbGVfM2Y3MTVlMjgtZTBkZC0xMWVhLTkxYWEtZmJiNmE1NDNkMTc3Lmh0bWzSAZ0BaHR0cHM6Ly93d3cua3B0di5jb20vbmV3cy9wb2xpY2UtYXNrLWZvci1oZWxwLWFmdGVyLXBpY2t1cC1kcml2ZXItYXR0YWNrZWQtbGVmdC11bmNvbnNjaW91cy1pbi1wb3J0bGFuZC9hcnRpY2xlXzNmNzE1ZTI4LWUwZGQtMTFlYS05MWFhLWZiYjZhNTQzZDE3Ny5hbXAuaHRtbA?oc=5
google,"17 Aug, 21:30",Ghost of Tsushima: Legends Will Not Have Any Microtransactions - Push Square,https://news.google.com/__i/rss/rd/articles/CBMiZWh0dHBzOi8vd3d3LnB1c2hzcXVhcmUuY29tL25ld3MvMjAyMC8wOC9naG9zdF9vZl90c3VzaGltYV9sZWdlbmRzX3dpbGxfbm90X2hhdmVfYW55X21pY3JvdHJhbnNhY3Rpb25z0gEA?oc=5
google,"17 Aug, 17:06",Kushner: US will not approve Israeli annexations for 'some time' - Al Jazeera English,https://news.google.com/__i/rss/rd/articles/CBMiZGh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDIwLzA4L2t1c2huZXItYXBwcm92ZS1pc3JhZWxpLWFubmV4YXRpb25zLXRpbWUtMjAwODE3MTQ0MDUwNTQ2Lmh0bWzSAWhodHRwczovL3d3dy5hbGphemVlcmEuY29tL2FtcC9uZXdzLzIwMjAvMDgva3VzaG5lci1hcHByb3ZlLWlzcmFlbGktYW5uZXhhdGlvbnMtdGltZS0yMDA4MTcxNDQwNTA1NDYuaHRtbA?oc=5
google,"17 Aug, 14:15",Modi's BJP rejects claims of preferential treatment by Facebook - Aljazeera.com,https://news.google.com/__i/rss/rd/articles/CBMib2h0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vYWppbXBhY3QvbW9kaS1ianAtcmVqZWN0cy1jbGFpbXMtcHJlZmVyZW50aWFsLXRyZWF0bWVudC1mYWNlYm9vay0yMDA4MTcxMzE2NDU0NTguaHRtbNIBc2h0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vYW1wL2FqaW1wYWN0L21vZGktYmpwLXJlamVjdHMtY2xhaW1zLXByZWZlcmVudGlhbC10cmVhdG1lbnQtZmFjZWJvb2stMjAwODE3MTMxNjQ1NDU4Lmh0bWw?oc=5
google,"17 Aug, 08:43",Sturgis Motorcycle Rally Protester Kicks Biker as He Rides Past - Newsweek,https://news.google.com/__i/rss/rd/articles/CBMiVGh0dHBzOi8vd3d3Lm5ld3N3ZWVrLmNvbS9zdHVyZ2lzLW1vdG9yY3ljbGUtcmFsbHktcHJvdGVzdC1jb3ZpZC1zb3V0aC1kYWtvdGEtMTUyNTQ2NdIBWmh0dHBzOi8vd3d3Lm5ld3N3ZWVrLmNvbS9zdHVyZ2lzLW1vdG9yY3ljbGUtcmFsbHktcHJvdGVzdC1jb3ZpZC1zb3V0aC1kYWtvdGEtMTUyNTQ2NT9hbXA9MQ?oc=5
bbc,"18 Aug, 11:26",Democratic convention: Michelle Obama blasts Trump,https://www.bbc.co.uk/news/election-us-2020-53815566
bbc,"18 Aug, 10:42",Mauritius oil spill: Bad weather impedes clean-up,https://www.bbc.co.uk/news/world-africa-53819112
bbc,"18 Aug, 10:20",Missouri couple who pointed guns at BLM protesters 'to speak at Republican convention',https://www.bbc.co.uk/news/world-us-canada-53819020
bbc,"18 Aug, 10:10",Rafik Hariri tribunal: Verdict due over assassination of Lebanon ex-PM,https://www.bbc.co.uk/news/world-middle-east-53601710
bbc,"18 Aug, 10:06",Lego hand comes out of boy's nose after two years,https://www.bbc.co.uk/news/newsbeat-53819306
bbc,"18 Aug, 09:13",Wuhan coronavirus: From silent streets to packed pools,https://www.bbc.co.uk/news/world-asia-china-53816511
bbc,"18 Aug, 07:01",Fountainstown Beach: Bioluminescent plankton light up Cork beach,https://www.bbc.co.uk/news/world-europe-53814226
